brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,warranty,Price,rating,Number of Ratings,Number of Reviews,Touchscreen_Yes,msoffice_Yes,weight_Casual,weight_Gaming,weight_ThinNlight
5,1,2,2,1,1,3,0,4,1,1,59999,3,22,3,0,1,1,0,0
3,1,2,4,2,1,3,0,4,2,1,79990,2,0,0,0,0,1,0,0
7,1,2,2,1,0,2,0,4,0,1,81998,3,14,3,1,1,0,0,1
1,0,10,5,0,1,4,0,4,0,1,104990,3,14,2,0,0,1,0,0
1,0,9,5,2,1,3,0,4,2,1,79990,2,0,0,0,0,1,0,0
1,1,1,5,1,1,3,0,4,0,1,42990,3,30,4,0,0,1,0,0
4,0,8,5,0,1,3,0,1,0,0,52380,2,0,0,0,0,1,0,0
3,1,1,5,0,1,2,2,4,0,1,43990,2,0,0,0,1,0,0,1
1,1,6,5,0,1,2,0,4,0,1,32990,3,7,1,0,1,0,0,1
7,0,7,5,0,1,3,0,4,0,0,34990,2,0,0,0,0,1,0,0
1,0,7,5,1,1,2,0,4,0,1,35990,3,2886,375,0,0,0,0,1
4,1,1,1,1,1,0,2,4,1,0,49279,3,38,3,0,0,1,0,0
5,1,1,4,0,1,2,0,4,0,3,39999,2,0,0,0,1,1,0,0
5,1,2,5,1,1,3,0,4,0,1,69990,3,10,2,0,1,0,0,1
5,1,1,4,1,1,0,2,4,0,1,35990,3,2124,233,0,1,0,0,1
3,1,1,4,0,1,2,0,4,0,1,39490,3,634,64,0,1,1,0,0
1,1,1,4,0,1,2,0,1,0,0,39990,2,0,0,0,0,1,0,0
7,1,2,5,1,1,3,0,4,0,1,55999,3,6,0,0,0,0,0,1
3,1,2,5,1,1,3,0,4,1,1,79990,3,5,0,1,1,1,0,0
5,1,2,4,1,5,3,0,4,1,1,70798,3,21,3,0,1,1,0,0
4,1,2,5,1,1,3,0,1,0,1,59999,3,4,1,0,1,0,0,1
4,1,1,5,1,1,0,2,4,0,1,43690,3,4999,490,0,1,0,0,1
3,1,1,5,1,1,2,0,4,0,1,48500,2,0,0,0,0,1,0,0
1,1,1,4,1,1,0,2,4,0,0,32990,1,12,0,0,0,1,0,0
3,1,1,5,1,1,0,2,1,0,0,41480,2,25,4,0,0,1,0,0
4,1,1,5,1,1,2,0,4,0,1,39990,3,273,30,0,1,0,0,1
1,1,2,4,1,1,0,2,4,0,1,46990,3,1444,179,0,0,0,0,1
5,1,0,5,0,5,0,1,4,0,0,25990,2,84,16,0,0,1,0,0
4,1,3,4,2,1,4,0,4,0,1,179990,3,13,5,1,0,1,0,0
1,1,3,5,2,5,4,0,4,1,1,104990,2,0,0,1,1,1,0,0
3,0,7,5,0,1,0,2,4,0,1,43990,2,0,0,0,0,1,0,0
1,1,1,4,0,1,0,2,4,0,1,35990,2,17,0,0,0,1,0,0
1,1,2,2,1,1,0,2,4,0,0,81990,2,0,0,0,0,0,0,1
4,1,2,5,1,1,3,0,4,0,1,61000,3,1124,100,0,1,0,0,1
1,1,1,5,1,1,0,2,4,0,1,38900,2,13,0,0,0,1,0,0
6,1,3,4,2,1,3,0,4,2,3,79990,3,484,56,0,0,1,0,0
1,1,0,5,0,1,0,1,1,0,0,21990,2,31,3,0,0,1,0,0
1,1,3,5,2,5,4,0,4,0,0,99990,2,0,0,0,0,0,0,1
6,1,2,4,1,4,0,1,0,2,0,86990,3,218,27,0,0,1,0,0
1,1,2,4,1,1,3,0,4,2,1,65990,3,3850,378,0,1,0,1,0
4,0,7,5,0,1,0,2,4,0,1,32917,3,353,58,0,0,1,0,0
5,1,1,4,0,1,2,0,1,0,0,41990,2,3,0,0,0,1,0,0
1,0,10,5,0,5,4,0,4,0,0,134990,2,0,0,1,0,1,0,0
4,0,9,5,0,1,3,0,4,0,1,68500,3,134,22,0,1,0,0,1
4,1,6,5,1,1,2,0,4,0,1,32990,3,77,9,0,1,0,0,1
4,1,1,5,0,1,0,2,4,0,1,41990,3,69,5,0,1,0,0,1
4,1,3,2,2,1,1,2,4,2,1,116941,2,0,0,0,0,1,0,0
6,1,2,4,1,1,3,0,4,2,3,59990,3,1597,228,0,0,1,0,0
5,1,2,5,2,1,3,0,4,0,1,62300,3,825,95,0,1,0,0,1
1,1,2,5,2,1,2,2,4,0,0,58990,3,6,1,0,0,0,0,1
1,1,2,5,1,1,3,0,4,0,0,57990,2,0,0,0,0,0,0,1
3,1,1,5,1,1,0,2,4,0,0,42490,3,276,40,0,0,0,0,1
2,1,2,1,1,1,3,0,4,0,0,65556,2,0,0,0,0,0,0,1
4,0,9,5,0,1,3,0,4,0,1,57999,3,44,5,0,1,0,0,1
1,1,2,5,2,1,2,2,4,0,1,64990,3,10,1,0,0,1,0,0
5,0,9,5,2,1,3,0,4,0,1,73400,2,0,0,0,0,1,0,0
7,1,2,2,1,1,0,2,4,1,1,72964,3,18,6,0,0,1,0,0
5,1,1,5,1,1,2,0,4,0,1,53990,3,299,41,1,1,1,0,0
5,1,4,4,2,1,4,0,1,4,0,265998,2,0,0,0,0,1,0,0
3,1,1,5,1,1,3,0,4,0,1,60790,3,10,1,1,0,1,0,0
5,1,2,4,1,1,3,0,4,0,1,55999,2,0,0,0,1,1,0,0
5,1,1,4,1,1,2,0,1,0,0,38970,2,0,0,0,0,1,0,0
1,1,2,5,1,1,2,2,4,0,1,49990,2,22,2,0,0,1,0,0
1,1,2,5,1,5,3,0,4,0,1,105990,3,59,11,1,0,1,0,0
5,1,2,0,1,0,0,2,4,0,0,52490,2,78,17,0,0,1,0,0
1,1,1,5,0,1,2,0,4,0,0,34429,3,37,6,0,0,0,0,1
1,0,8,5,1,1,2,2,1,0,1,54990,3,474,65,0,1,1,0,0
4,1,2,5,1,1,3,0,4,0,1,114999,2,0,0,1,1,0,0,1
1,1,2,5,1,5,3,0,4,0,1,114990,2,0,0,1,0,1,0,0
5,1,1,5,1,1,2,0,4,0,1,41990,3,1084,160,0,1,0,0,1
5,0,8,5,1,1,2,2,4,2,0,68500,3,271,24,0,0,1,0,0
4,0,9,5,0,1,3,0,4,2,1,90990,3,273,40,0,0,1,0,0
5,1,2,5,1,1,3,0,4,0,1,55990,2,0,0,0,0,0,0,1
6,1,3,5,2,5,3,0,4,0,1,89990,2,0,0,0,0,1,0,0
4,1,3,5,2,1,4,0,4,1,1,94990,2,0,0,0,1,1,0,0
5,1,2,4,1,1,3,0,1,1,3,58999,3,45,3,0,1,1,0,0
3,1,2,5,1,1,3,0,4,0,0,59990,2,31,7,0,0,0,0,1
4,1,0,5,1,1,2,0,4,0,0,32490,3,58,6,0,0,0,0,1
0,2,5,4,1,1,2,0,3,0,1,85990,3,6725,629,0,0,1,0,0
1,1,3,2,1,3,3,0,4,0,1,81990,3,40,4,0,0,0,0,1
1,1,1,5,1,1,2,0,4,0,0,48990,2,0,0,0,0,1,0,0
